author,study.habitat,from,year,region,location,species,life.stage,family,common.name,genus,environment,climate,red.list,feeding.type,feeding.habit,TL,fork.length,total.length,W,GW,N,Cature.meth,min.size,float.meth,dig.meth,count.meth,polymer.meth,polymer.ID,blanks,blank.conc,ingest.rate,Mpsgut,SDMPsgut,MPspergfish,SDMPspergfish,maj.fib,maj.under.one.mm,maj.polymer,maj.col,exclude.fib,notes
Koongolla et al.,Marine,Garth,2020,Pacific: Northwest,"Beibu Gulf, South China Sea",Decapterus maruadsi,Adult,Carangidae,Japanese scad,Decapterus,Reef-associated,Tropical,Least Concern,mainly animals,selective plankton feeding,3.4,,15.36,33.05,,18,Trawl,20,NaCl,KOH,Visual,FTIR,yes,yes,,,0.222,,,,yes,yes,Polyester,Clear,no,
Koongolla et al.,Marine,Garth,2020,Pacific: Northwest,"Beibu Gulf, South China Sea",Trachiocephalus myops,Adult,Synodontidae,Snakefish,Trachinocephalus,Reef-associated,Tropical,Least Concern,mainly animals,hunting macrofauna,4.4,,19.54,65.72,,14,Trawl,20,NaCl,KOH,Visual,FTIR,yes,yes,,,0.214,,,,yes,yes,Polyester,Clear,no,
Koongolla et al.,Marine,Garth,2020,Pacific: Northwest,"Beibu Gulf, South China Sea",Carangoides chrysophrys,Adult,Carangidae,Longnose trevally,Carangoides,Reef-associated,Tropical,Least Concern,mainly animals,hunting macrofauna,4.3,,13.2,33.13,,12,Trawl,20,NaCl,KOH,Visual,FTIR,yes,yes,,,0.166,,,,yes,yes,Polyester,Clear,no,
Koongolla et al.,Marine,Garth,2020,Pacific: Northwest,"Beibu Gulf, South China Sea",Caranx pectoralis,Adult,Carangidae,Blackfin scad,Alepes,Pelagic-neritic,Tropical,Least Concern,mainly animals,variable,3.4,,12.72,30.32,,16,Trawl,20,NaCl,KOH,Visual,FTIR,yes,yes,,,0.125,,,,yes,yes,Polyester,Clear,no,
Koongolla et al.,Marine,Garth,2020,Pacific: Northwest,"Beibu Gulf, South China Sea",Saurida tumbil,Adult,Synodontidae,Greater lizardfish,Saurida,Reef-associated,Tropical,Least Concern,mainly animals,hunting macrofauna,4.4,,20.65,61.24,,36,Trawl,20,NaCl,KOH,Visual,FTIR,yes,yes,,,0.111,,,,yes,yes,Polyester,Clear,no,
Koongolla et al.,Marine,Garth,2020,Pacific: Northwest,"Beibu Gulf, South China Sea",Lepidotrigla alata,Adult,Triglidae,Forksnout searobin,Lepidotrigla,Demersal,Temperate,Not Evaluated,,,3.5,,10.8,18.71,,38,Trawl,20,NaCl,KOH,Visual,FTIR,yes,yes,,,0.105,,,,yes,yes,Polyester,Clear,no,
Koongolla et al.,Marine,Garth,2020,Pacific: Northwest,"Beibu Gulf, South China Sea",Psenopsis anomala,Adult,Centrolophidae,Pacific rudderfish,Psenopsis,Benthopelagic,Tropical,Least Concern,mainly animals,hunting macrofauna,4,,14.87,62.85,,51,Trawl,20,NaCl,KOH,Visual,FTIR,yes,yes,,,0.098,,,,yes,yes,Polyester,Clear,no,
Koongolla et al.,Marine,Garth,2020,Pacific: Northwest,"Beibu Gulf, South China Sea",Nemipterus virgatus,Adult,Nemipteridae,Golden threadfin bream,Nemipterus,Demersal,Tropical,Vulnerable,mainly animals,hunting macrofauna,4,,16.94,57.74,,14,Trawl,20,NaCl,KOH,Visual,FTIR,yes,yes,,,0.071,,,,yes,yes,Polyester,Clear,no,
Koongolla et al.,Marine,Garth,2020,Pacific: Northwest,"Beibu Gulf, South China Sea",Pennahia macrocephalus,Adult,Sciaenidae,Big-head pennah croaker,Pennahia,Demersal,Tropical,Not Evaluated,mainly animals,hunting macrofauna,4.1,,15.11,46.74,,18,Trawl,20,NaCl,KOH,Visual,FTIR,yes,yes,,,0.055,,,,yes,yes,Polyester,Clear,no,
Koongolla et al.,Marine,Garth,2020,Pacific: Northwest,"Beibu Gulf, South China Sea",Upeneus sulphureus,Adult,Mullidae,Sulphur goatfish,Upeneus,Demersal,Tropical,Least Concern,mainly animals,hunting macrofauna,3.1,,13.09,31.69,,37,Trawl,20,NaCl,KOH,Visual,FTIR,yes,yes,,,0.027,,,,yes,yes,Polyester,Clear,no,
Koongolla et al.,Marine,Garth,2020,Pacific: Northwest,"Beibu Gulf, South China Sea",Upeneus bensasi,Adult,Mullidae,Japanese goatfish,Upeneus,Reef-associated,Subtropical,Not Evaluated,mainly animals,hunting macrofauna,3.6,,7.84,5.26,,11,Trawl,20,NaCl,KOH,Visual,FTIR,yes,yes,,0,0,,,,,,,,no,
Koongolla et al.,Marine,Garth,2020,Pacific: Northwest,"Beibu Gulf, South China Sea",Pseudorhombus oligodon,Adult,Paralichthyidae,Roughscale flounder,Pseudorhombus,Demersal,Tropical,Not Evaluated,mainly animals,hunting macrofauna,4.2,,10.81,11.68,,18,Trawl,20,NaCl,KOH,Visual,FTIR,yes,yes,,0,0,,,,,,,,no,
Koongolla et al.,Marine,Garth,2020,Pacific: Northwest,"Beibu Gulf, South China Sea",Branchiostegus argentatus,Adult,Malacanthidae,Horsehead tilefish,Branchiostegus,Demersal,Tropical,Not Evaluated,,,3.5,,16.27,43.7,,18,Trawl,20,NaCl,KOH,Visual,FTIR,yes,yes,,0,0,,,,,,,,no,
Koongolla et al.,Marine,Garth,2020,Pacific: Northwest,"Beibu Gulf, South China Sea",Apogon quadrifasciatus,Adult,Apogonidae,Broadbanded cardinalfish,Ostorhinchus,Reef-associated,Tropical,Not Evaluated,mainly animals,hunting macrofauna,3.6,,9.33,12.22,,18,Trawl,20,NaCl,KOH,Visual,FTIR,yes,yes,,0,0,,,,,,,,no,
Koongolla et al.,Marine,Garth,2020,Pacific: Northwest,"Beibu Gulf, South China Sea",Acropoma japonicum,Adult,Acropomatidae,Glowbelly,Acropoma,Bathypelagic,Deep-water,Not Evaluated,mainly animals,,3.3,,6.72,4.11,,18,Trawl,20,NaCl,KOH,Visual,FTIR,yes,yes,,0,0,,,,,,,,no,
Koongolla et al.,Marine,Garth,2020,Pacific: Northwest,"Beibu Gulf, South China Sea",Apogon ellioti,Adult,Apogonidae,Flag-in cardinal fish,Jaydia,Reef-associated,Tropical,Not Evaluated,mainly animals,hunting macrofauna,3.6,,11.67,23.89,,34,Trawl,20,NaCl,KOH,Visual,FTIR,yes,yes,,0,0,,,,,,,,no,
Koongolla et al.,Marine,Garth,2020,Pacific: Northwest,"Beibu Gulf, South China Sea",Trichiurus haumela,Adult,Trichiuridae,Largehead hairtail,Trichiurus,Benthopelagic,Subtropical,Least Concern,mainly animals,hunting macrofauna,4.4,,64.36,107.63,,8,Trawl,20,NaCl,KOH,Visual,FTIR,yes,yes,,0,0,,,,,,,,no,
Koongolla et al.,Marine,Garth,2020,Pacific: Northwest,"Beibu Gulf, South China Sea",Apogon semilineatus,Adult,Apogonidae,Half-lined cardinal,Ostorhinchus,Reef-associated,Tropical,Data deficient,mainly animals,hunting macrofauna,3.5,,7.52,5.43,,13,Trawl,20,NaCl,KOH,Visual,FTIR,yes,yes,,0,0,,,,,,,,no,
Koongolla et al.,Marine,Garth,2020,Pacific: Northwest,"Beibu Gulf, South China Sea",Sirembo imberbis,Adult,Ophidiidae,Golden cusk,Sirembo,Demersal,Subtropical,Not Evaluated,mainly animals,,3.6,,16.4,28.05,,21,Trawl,20,NaCl,KOH,Visual,FTIR,yes,yes,,0,0,,,,,,,,no,
Koongolla et al.,Marine,Garth,2020,Pacific: Northwest,"Beibu Gulf, South China Sea",Priacanthus macracanthus,Adult,Priacanthidae,Red bigeye,Priacanthus,Reef-associated,Subtropical,Least Concern,mainly animals,hunting macrofauna,4.1,,14.31,38.87,,7,Trawl,20,NaCl,KOH,Visual,FTIR,yes,yes,,0,0,,,,,,,,no,
Koongolla et al.,Marine,Garth,2020,Pacific: Northwest,"Beibu Gulf, South China Sea",Scorpaena hatizyoensis,Adult,Scorpaenidae,Hachijô-fusakasago,Scorpaena,Demersal,Temperate,Least Concern,,,3.7,,10.7,21.97,,9,Trawl,20,NaCl,KOH,Visual,FTIR,yes,yes,,0,0,,,,,,,,no,
Koongolla et al.,Marine,Garth,2020,Pacific: Northwest,"Beibu Gulf, South China Sea",Trachurus japonicus,Adult,Carangidae,Japanese jack mackerel,Trachurus,Pelagic-neritic,Tropical,Near Threatened,mainly animals,selective plankton feeding,3.4,,14.67,27.34,,18,Trawl,20,NaCl,KOH,Visual,FTIR,yes,yes,,0,0,,,,,,,,no,
Kühn et al.,Marine,Garth,2019,Atlantic: Northeast,North Sea,Sprattus sprattus,Adult,Clupeidae,European sprat,Sprattus,Pelagic-neritic,Temperate,Not Evaluated,mainly animals,selective plankton feeding,3,,,,,1375,Trawl,30,None,KOH,Visual,FTIR,yes,yes,,1.2,0.013,,,,,,,,yes,
Kühn et al.,Marine,Garth,2019,Atlantic: Northeast,North Sea,Clupea harengus,Adult,Clupeidae,Atlantic herring ,Clupea,Benthopelagic,Temperate,Least Concern,mainly animals,selective plankton feeding,3.4,,,,,446,Trawl,30,None,KOH,Visual,FTIR,yes,yes,,0.7,0.007,,,,,,,,yes,
Kühn et al.,Marine,Garth,2019,Atlantic: Northeast,North Sea,Pleuronectes platessa,Adult,Pleuronectidae,European plaice,Pleuronectes,Demersal,Temperate,Least Concern,mainly animals,hunting macrofauna,3.2,,,,,250,Trawl,30,None,KOH,Visual,FTIR,yes,yes,,2,0.02,,,,,,,,yes,
Kühn et al.,Marine,Garth,2019,Atlantic: Northeast,North Sea,Melanogrammus aeglefinus,Adult,Gadidae,Haddock,Melanogrammus,Demersal,Temperate,Vulnerable,mainly animals,hunting macrofauna,4,,,,,121,Trawl,30,None,KOH,Visual,FTIR,yes,yes,,0,0,,,,,,,,yes,
Kühn et al.,Marine,Garth,2019,Atlantic: Northeast,North Sea,Merlangius merlangus,Adult,Gadidae,Whiting,Merlangius,Benthopelagic,Temperate,Least Concern,mainly animals,hunting macrofauna,4.4,,,,,54,Trawl,30,None,KOH,Visual,FTIR,yes,yes,,1.9,0.025,,,,,,,,yes,
Kühn et al.,Marine,Garth,2019,Atlantic: Northeast,North Sea,Scomber scombrus,Adult,Scombridae,Atlantic mackerel,Scomber,Pelagic-neritic,Temperate,Least Concern,mainly animals,variable,3.6,,,,,47,Trawl,30,None,KOH,Visual,FTIR,yes,yes,,4.3,0.019,,,,,,,,yes,
Kühn et al.,Marine,Garth,2019,Atlantic: Northeast,North Sea,Trisopterus esmarkii,Adult,Gadidae,Norway pout,Trisopterus,Benthopelagic,Temperate,Least Concern,mainly animals,hunting macrofauna,3.2,,,,,38,Trawl,30,None,KOH,Visual,FTIR,yes,yes,,2.6,0.047,,,,,,,,yes,
Kühn et al.,Marine,Garth,2019,Atlantic: Northeast,North Sea,Gadus morhua,Adult,Gadidae,Atlantic cod,Gadus,Benthopelagic,Temperate,Vulnerable,mainly animals,hunting macrofauna,4.1,,,,,34,Trawl,30,None,KOH,Visual,FTIR,yes,yes,,11.8,0.026,,,,,,,,yes,
Kühn et al.,Marine,Garth,2019,Atlantic: Northeast,North Sea,Engraulis encrasicolus,Adult,Engraulidae,European anchovy,Engraulis,Pelagic-neritic,Subtropical,Least Concern,mainly animals,selective plankton feeding,3.1,,,,,4,Trawl,30,None,KOH,Visual,FTIR,yes,yes,,0,0.056,,,,,,,,yes,
Kühn et al.,Marine,Garth,2019,Atlantic: Northeast,North Sea,Gasterosteus aculeatus,Adult,Gasterosteidae,Three-spined stickleback,Gasterosteus,Benthopelagic,Subtropical,Least Concern,mainly animals,hunting macrofauna,3.3,,,,,1,Trawl,30,None,KOH,Visual,FTIR,yes,yes,,0,0,,,,,,,,yes,
Kühn et al.,Marine,Garth,2019,Atlantic: Northeast,North Sea,Trachurus trachurus,Adult,Carangidae,Atlantic horse mackerel,Trachurus,Pelagic-neritic,Subtropical,Vulnerable,mainly animals,hunting macrofauna,3.7,,,,,1,Trawl,30,None,KOH,Visual,FTIR,yes,yes,,0,0,,,,,,,,yes,
Ku?mierek,Freshwater,Garth,2020,Europe,"Widawa River, southwest Poland",Gobio gobio,Adult,Cyprinidae,Gudgeon,Gobio,Freshwater; benthopelagic,Temperate,Least Concern,mainly animals,hunting macrofauna,3.1,,11.44,14.3,,202,Electrofishing,5,None,KOH,Visual,None,no,yes,,53.96,1.15,1.65,,,yes,,,,no,
Ku?mierek,Freshwater,Garth,2020,Europe,"Widawa River, southwest Poland",Rutilus rutilus,Adult,Cyprinidae,Roach,Rutilus,Freshwater; benthopelagic,Subtropical,Least Concern,plants/detritus+animals,hunting macrofauna,3,,13.8,31,,187,Electrofishing,5,None,KOH,Visual,None,no,yes,,55.08,1.18,1.18,,,yes,,,,no,
Lefebvre et al.,Marine,Garth,2019,Mediterranean and Black Sea,North west Mediterranean,Sardina pilchardus,Adult,Clupeidae,European pilchard,Sardina,Pelagic-neritic,Subtropical,Least Concern,plants/detritus+animals,selective plankton feeding,3.1,,11.72,14.14,,85,Pelagic trawl net,500,None,None,Visual,FTIR,yes,yes,,12,0,0.69,,,yes,yes,Polyester,Clear,no,
Lefebvre et al.,Marine,Garth,2019,Mediterranean and Black Sea,North west Mediterranean,Engraulis encrasicolus,Adult,Engraulidae,European anchovy,Engraulis,Pelagic-neritic,Subtropical,Least Concern,mainly animals,selective plankton feeding,3.1,,11.25,9.53,,84,Pelagic trawl net,500,None,None,Visual,FTIR,yes,yes,,11,0.11,0.31,,,yes,yes,Polyester,Clear,no,
Liboiron et al.,Marine,Garth,2016,Atlantic: Northwest,Newfoundland coast,Gadus morhua,Adult,Gadidae,Atlantic cod,Gadus,Benthopelagic,Temperate,Vulnerable,mainly animals,hunting macrofauna,4.1,,,,,177,Local Fisherman,1000,None,None,Visual,None,no,no,,2.3,,,,,no,,,,no,
Liboiron et al.,Marine,Garth,2018,Atlantic: Northwest,Newfoundland coast,Gadus morhua,Adult,Gadidae,Atlantic cod,Gadus,Benthopelagic,Temperate,Vulnerable,mainly animals,hunting macrofauna,4.1,,32,,,134,Trawl,1000,None,None,Visual,None,no,no,,0,0,,,,,,,,no,
Lopes et al.,Marine,Garth,2020,Atlantic: Northeast,Iberian coast,Boops boops,Adult,Sparidae,Bogue,Boops,Demersal,Subtropical,Least Concern,mainly animals,selective plankton feeding,2.8,,,,,19,Pelagic trawl net,20,,KOH,Visual,FTIR,yes,yes,,60,0.473684211,,,,yes,yes,Polypropylene,Black,no,
Lopes et al.,Marine,Garth,2020,Atlantic: Northeast,Iberian coast,Engraulis encrasicolus,Adult,Engraulidae,European anchovy,Engraulis,Pelagic-neritic,Subtropical,Least Concern,mainly animals,selective plankton feeding,3.1,,,,,131,Pelagic trawl net,20,,KOH,Visual,FTIR,yes,yes,,79,0.58778626,,,,yes,yes,Polypropylene,Blue,no,
Lopes et al.,Marine,Garth,2020,Atlantic: Northeast,Iberian coast,Sardina pilchardus,Adult,Clupeidae,European pilchard,Sardina,Pelagic-neritic,Subtropical,Least Concern,plants/detritus+animals,selective plankton feeding,3.1,,,,,76,Pelagic trawl net,20,,KOH,Visual,FTIR,yes,yes,,58,0.289473684,,,,yes,no,Polypropylene,Blue,no,
Lopes et al.,Marine,Garth,2020,Atlantic: Northeast,Iberian coast,Scomber colias,Adult,Scombridae,Atlantic chub mackerel,Scomber,Pelagic-neritic,Temperate,Least Concern,mainly animals,hunting macrofauna,3.9,,,,,58,Pelagic trawl net,20,,KOH,Visual,FTIR,yes,yes,,64,0.465517241,,,,yes,no,Polypropylene,Blue,no,
Lopes et al.,Marine,Garth,2020,Atlantic: Northeast,Iberian coast,Scomber scombrus,Adult,Scombridae,Atlantic mackerel,Scomber,Pelagic-neritic,Temperate,Least Concern,mainly animals,variable,3.6,,,,,19,Pelagic trawl net,20,,KOH,Visual,FTIR,yes,yes,,100,0.894736842,,,,yes,yes,Polypropylene,Blue,no,
Lopes et al.,Marine,Garth,2020,Atlantic: Northeast,Iberian coast,Trachurus trachurus,Adult,Carangidae,Atlantic horse mackerel,Trachurus,Pelagic-neritic,Subtropical,Vulnerable,mainly animals,hunting macrofauna,3.7,,,,,24,Pelagic trawl net,20,,KOH,Visual,FTIR,yes,yes,,100,1.708333333,,,,yes,yes,Polypropylene,Blue,no,
Lusher et al.,Marine,Justine,2013,Atlantic: Northeast,English Channel,Buglossidium luteum,Adult,Soleidae,Solenette,Buglossidium,Demersal,Subtropical,Least Concern,mainly animals,hunting macrofauna,3.3,,,,,50,Trawl ,500,None,None,Visual,FTIR,yes,no,,26,,,,,yes,no,Rayon,,no,
Lusher et al.,Marine,Justine,2013,Atlantic: Northeast,English Channel,Callionymus lyra,Adult,Callionymidae,Dragonet ,Callionymus,Demersal,Temperate,Least Concern,mainly animals,hunting macrofauna,3.3,,,,,50,Trawl,500,None,None,Visual,FTIR,yes,no,,38,,,,,yes,no,Rayon,,no,
Lusher et al.,Marine,Justine,2013,Atlantic: Northeast,English Channel,Cepola macrophthalma,Adult,Salmonidae,Red bandfish,Cepola,Demersal,Subtropical,Least Concern,mainly animals,selective plankton feeding,3.1,,,,,62,Trawl,500,None,None,Visual,FTIR,yes,no,,32.3,,,,,yes,no,Rayon,,no,
Lusher et al.,Marine,Justine,2013,Atlantic: Northeast,English Channel,Chelidonichthys cuculus,Adult,Triglidae,Red gurnard ,Chelidonichthys,Demersal,Temperate,Least Concern,mainly animals,hunting macrofauna,3.8,,,,,66,Trawl,500,None,None,Visual,FTIR,yes,no,,51.5,,,,,yes,no,Rayon,,no,
Lusher et al.,Marine,Justine,2013,Atlantic: Northeast,English Channel,Merlangius merlangus,Adult,Gadidae,Whiting,Merlangius,Benthopelagic,Temperate,Least Concern,mainly animals,hunting macrofauna,4.4,,,,,50,Trawl,500,None,None,Visual,FTIR,yes,no,,32,,,,,yes,no,Rayon,,no,
Lusher et al.,Marine,Justine,2013,Atlantic: Northeast,English Channel,Microchirus variegatus,Adult,Soleidae,Thickback sole,Microchirus,Demersal,Subtropical,Least Concern,mainly animals,hunting macrofauna,3.3,,,,,51,Trawl,500,None,None,Visual,FTIR,yes,no,,23.5,,,,,yes,no,Rayon,,no,
Lusher et al.,Marine,Justine,2013,Atlantic: Northeast,English Channel,Micromesistius poutassou,Adult,Gadidae,Blue whiting,Micromesistius,Bathypelagic,Temperate,Not Evaluated,mainly animals,hunting macrofauna,4.1,,,,,27,Trawl,500,None,None,Visual,FTIR,yes,no,,51.9,,,,,yes,no,Rayon,,no,
Lusher et al.,Marine,Justine,2013,Atlantic: Northeast,English Channel,Trachurus trachurus,Adult,Carangidae,Atlantic horse mackerel,Trachurus,Pelagic-neritic,Subtropical,Vulnerable,mainly animals,hunting macrofauna,3.7,,,,,56,Trawl,500,None,None,Visual,FTIR,yes,no,,28.6,,,,,yes,no,Rayon,,no,
Lusher et al.,Marine,Justine,2013,Atlantic: Northeast,English Channel,Trisopterus minutus,Adult,Gadidae,Poor cod ,Trisopterus,Benthopelagic,Temperate,Not Evaluated,mainly animals,hunting macrofauna,3.7,,,,,50,Trawl,500,None,None,Visual,FTIR,yes,no,,40,,,,,yes,no,Rayon,,no,
Lusher et al.,Marine,Justine,2013,Atlantic: Northeast,English Channel,Zeus faber,Adult,Zeidae,John dory,Zeus ,Benthopelagic,Temperate,Data deficient,mainly animals,hunting macrofauna,4.5,,,,,42,Trawl,500,None,None,Visual,FTIR,yes,no,,47.6,,,,,yes,no,Rayon,,no,
Lusher et al.,Marine,Justine,2015,Atlantic: Northeast,North Atlantic Ocean,Arctozenus risso,Adult,Paralepididae,Spotted barracudina,Arctozenus,Bathypelagic,Deep-water,Least Concern,mainly animals,hunting macrofauna,3.2,19,,,,14,Trawl,250,None,KOH,Visual,None,no,yes,5,21,1.3,,,,yes,no,,Black,no,
Lusher et al.,Marine,Justine,2015,Atlantic: Northeast,North Atlantic Ocean,Benthosema glaciale,Adult,Myctophidae,Glacier lantern fish,Benthosema,Pelagic-oceanic,Deep-water,Least Concern,mainly animals,selective plankton feeding,3,6.01,,,,27,Trawl,250,None,KOH,Visual,None,no,yes,5,22,1.5,,,,yes,no,,Black,no,
Lusher et al.,Marine,Justine,2015,Atlantic: Northeast,North Atlantic Ocean,Lampanyctus crocodilus,Adult,Myctophidae,Jewel lanternfish,Lampanyctus,Bathypelagic,Deep-water,Least Concern,mainly animals,selective plankton feeding,3.2,10,,,,2,Trawl,250,None,KOH,Visual,None,no,yes,5,0,0,,,,yes,no,,Black,no,
Lusher et al.,Marine,Justine,2015,Atlantic: Northeast,North Atlantic Ocean,Maurolicus muelleri,Adult,Sternoptychidae,Silvery lightfish,Maurolicus,Bathypelagic,Deep-water,Not Evaluated,mainly animals,selective plankton feeding,3,5.4,,,,282,Trawl,250,None,KOH,Visual,None,no,yes,5,3,1.1,,,,yes,no,,Black,no,
Lusher et al.,Marine,Justine,2015,Atlantic: Northeast,North Atlantic Ocean,Myctophum punctatum,Adult,Myctophidae,Spotted laternfish,Myctophum,Bathypelagic,Deep-water,Least Concern,mainly animals,selective plankton feeding,3.4,7.76,,,,3,Trawl,250,None,KOH,Visual,None,no,yes,5,0,0,,,,yes,no,,Black,no,
Lusher et al.,Marine,Justine,2015,Atlantic: Northeast,North Atlantic Ocean,Nemichthys scolopaceus,Adult,Nemichthyidae,Slender snipe eel,Nemichthys,Bathypelagic,Deep-water,Least Concern,mainly animals,selective plankton feeding,3.5,8.7,,,,1,Trawl,250,None,KOH,Visual,None,no,yes,5,100,1,,,,yes,no,,Black,no,
Lusher et al.,Marine,Justine,2015,Atlantic: Northeast,North Atlantic Ocean,Notoscopelus kroyeri,Adult,Alepisauridae,Lancet fish,Notoscopelus,Pelagic-oceanic,Temperate,Not Evaluated,mainly animals,selective plankton feeding,3.2,9.95,,,,417,Trawl,250,None,KOH,Visual,None,no,yes,5,15,1.1,,,,yes,no,,Black,no,
Lusher et al.,Marine,Justine,2015,Atlantic: Northeast,North Atlantic Ocean,Stomias boa boa,Adult,Stomiidae,Boa dragonfish,Stomias,Bathypelagic,Deep-water,Least Concern,mainly animals,hunting macrofauna,4,19.3,,,,5,Trawl,250,None,KOH,Visual,None,no,yes,5,40,2,,,,yes,no,,Black,no,
Lusher et al.,Marine,Justine,2015,Atlantic: Northeast,North Atlantic Ocean,Xenodermichthys copei,Adult,Alepocephalidae,Bluntsnout smoothhead,Xenodermichthys,Bathypelagic,Deep-water,Least Concern,mainly animals,variable,3.2,14,,,,5,Trawl,250,None,KOH,Visual,None,no,yes,5,60,2,,,,yes,no,,Black,no,
Maaghloud et al.,Marine,Garth,2020,Atlantic: Eastern Central,Moroccan entral Atlantic coast,Sardina pilchardus,Adult,Clupeidae,European pilchard,Sardina,Pelagic-neritic,Subtropical,Least Concern,plants/detritus+animals,selective plankton feeding,3.1,,20.46,24.29,,82,Pelagic trawl net,500,None,None,Visual,FTIR,yes,no,,9,,,,,,,,,no,
Maaghloud et al.,Marine,Garth,2020,Atlantic: Eastern Central,Moroccan entral Atlantic coast,Trachurus trachurus,Adult,Carangidae,Atlantic horse mackerel,Trachurus,Pelagic-neritic,Subtropical,Vulnerable,mainly animals,hunting macrofauna,3.7,,21.5,209.2,,51,Pelagic trawl net,500,None,None,Visual,FTIR,yes,no,,30,,,,,,,,,no,
Markic et al.,Marine,Hailey,2018,Pacific: Eastern Central,Samoa,Acanthurus lineatus,Adult,Acanthuridae,Lined surgeonfish,Acanthurus,Reef-associated,Tropical,Least Concern,plants/detritus+animals,grazing on aquatic plants,2,,22.6,163.6,,24,Local Fisherman,63,None,H2O2,Visual,FTIR,yes,no,,6.7,1.5,2.4,,,no,yes,Polyester,Black,no,fibers were only counted if airborne fibres were ruled out
Markic et al.,Marine,Hailey,2018,Pacific: Eastern Central,Tahiti,Caranx papuensis,Adult,Carangidae,Brassy trevally,Caranx,Reef-associated,Tropical,Least Concern,mainly animals,hunting macrofauna,4,,10.7,16.6,,32,Local Fisherman,63,None,H2O2,Visual,FTIR,yes,no,,43.8,2.4,3.4,,,no,yes,Polyester,Black,no,fibers were only counted if airborne fibres were ruled out
Markic et al.,Marine,Hailey,2018,Pacific: Eastern Central,Tahiti,Cheilopogon pitcairnensis,Adult,Exocoetidae,Flying fish,Cheilopogon,Pelagic-neritic,Tropical,Not Evaluated,mainly animals,selective plankton feeding,3.9,,26.8,167,,21,Local Fisherman,63,None,H2O2,Visual,FTIR,yes,no,,9.5,1,0,,,no,yes,Polyester,Black,no,fibers were only counted if airborne fibres were ruled out
Markic et al.,Marine,Hailey,2018,Pacific: Southwest,Auckland,Chelidonichthys kumu,Adult,Triglidae,Bluefin gurnard,Chelidonichthys,Demersal,Subtropical,Least Concern,mainly animals,hunting macrofauna,3.7,,34,,,27,Local Fisherman,63,None,H2O2,Visual,FTIR,yes,no,,3.7,2,0,,,no,yes,Polyester,Black,no,fibers were only counted if airborne fibres were ruled out
Markic et al.,Marine,Hailey,2018,Pacific: Eastern Central,Tahiti,Coryphaena hippurus,Adult,Coryphaenidae,Mahi-mahi,Coryphaena,Pelagic-neritic,Subtropical,Least Concern,mainly animals,hunting macrofauna,4.4,,148.6,10910,,10,Local Fisherman,63,None,H2O2,Visual,FTIR,yes,no,,20,2,1.9,,,no,yes,Polyester,Black,no,fibers were only counted if airborne fibres were ruled out
Markic et al.,Marine,Hailey,2018,Pacific: Eastern Central,Samoa,Ctenchaetus striatus,Adult,Acanthuridae,Striated surgeonfish,Acanthurus,Reef-associated,Tropical,Least Concern,plants/detritus+animals,grazing on aquatic plants,2,,21.1,161.7,,29,Local Fisherman,63,None,H2O2,Visual,FTIR,yes,no,,20.7,1,1.6,,,no,yes,Polyester,Black,no,fibers were only counted if airborne fibres were ruled out
Markic et al.,Marine,Hailey,2018,Pacific: Eastern Central,Tahiti,Ctenchaetus striatus,Adult,Acanthuridae,Striated surgeonfish,Acanthurus,Reef-associated,Tropical,Least Concern,plants/detritus+animals,grazing on aquatic plants,2,,21.1,161.7,,27,Local Fisherman,63,None,H2O2,Visual,FTIR,yes,no,,25.9,1.6,2.1,,,no,yes,Polyester,Black,no,fibers were only counted if airborne fibres were ruled out
Markic et al.,Marine,Hailey,2018,Pacific: Eastern Central,Tahiti,Decapterus macrosoma,Adult,Carangidae,Shortfin scad,Decapterus,Reef-associated,Tropical,Least Concern,mainly animals,hunting macrofauna,3.4,,20.5,68,,25,Local Fisherman,63,None,H2O2,Visual,FTIR,yes,no,,28,1.1,1,,,no,yes,Polyester,Black,no,fibers were only counted if airborne fibres were ruled out
Markic et al.,Marine,Hailey,2018,Pacific: Southeast,Rapa Nui (Easter Island),Decapterus muroadsi,Adult,Carangidae,Amberstripe scad,Decapterus,Pelagic-oceanic,Tropical,Least Concern,mainly animals,selective plankton feeding,3.4,,23,119,,25,Local Fisherman,63,None,H2O2,Visual,FTIR,yes,no,,64,2.4,3,,,no,yes,Polyester,Black,no,fibers were only counted if airborne fibres were ruled out
Markic et al.,Marine,Hailey,2018,Pacific: Eastern Central,Tahiti,Ellochelon vaigiensis,Adult,Mugilidae,Squaretail mullet,Ellochelon,Reef-associated,Tropical,Least Concern,mainly plants/detritus,selective plankton feeding,2.2,,31,334.4,,33,Local Fisherman,63,None,H2O2,Visual,FTIR,yes,no,,48.5,4.3,9.8,,,no,yes,Polyester,Black,no,fibers were only counted if airborne fibres were ruled out
Markic et al.,Marine,Hailey,2018,Pacific: Southwest,Auckland,Girella tricuspidata,Adult,Kyphosidae,Parore,Girella,Benthopelagic,Temperate,Not Evaluated,mainly plants/detritus,grazing on aquatic plants,2.1,,34.8,686.1,,20,Local Fisherman,63,None,H2O2,Visual,FTIR,yes,no,,70,5.9,5.8,,,no,yes,Polyester,Black,no,fibers were only counted if airborne fibres were ruled out
